column0,cell2_z2,cell3_z2,cell4_z2,cell5_z2,cell6_z2,cell7_z2,cell8_z2,cell9_z2
7,0.0429480108011228,0.0264112078755489,0.0509750418779994,0.0305509011905561,0.0500303698166677,0.0502996184763336,0.049630762495653,0.0553912845121271
7.25,0.00298267637678637,0.0136895721985689,0.00473325567906781,0.00266024504393963,0.00245941403577111,0.00692482063751647,0.00348727070070034,0.00123872977281213
7.5,0.00299767018832592,0.0114587893422479,0.00469855508374489,0.00162412524943427,0.00355225705813022,0.00333509305908189,0.00203361746082687,0.00433887992865223
7.75,0.00305510133008034,0.0091645409664066,0.0050240407257577,0.00199976108551958,0.00547811874076022,0.00106390995419936,0.00564743788637278,0.00432063676274725
8,0.0116163470223705,0.0393061159297258,0.0279746035976712,0.0221779215473265,0.00290723925509555,0.0119700737597489,0.00428017593434215,0.0103062846798202
8.25,0.00305472806394362,0.00595892611251979,0.00583181396099023,0.00283031278861434,0.00674921848168305,0.00346937015984995,0.00623859835401399,0.00239375873128519
8.5,0.00300588154413764,0.00574722669411291,0.00605119856437931,0.00225087393126755,0.00652074127881633,0.00390871588546079,0.00870868260197018,0.00693014827702412
8.75,0.00299027733838926,0.00641355622350343,0.00612762398420996,0.00205357935460226,0.00546197894646466,0.00205032264404284,0.00855943481933009,0.00344165146546556
9,0.0328587924367751,0.063494818995152,0.0608263971450396,0.0512863069967313,0.0362646708588712,0.038454193597374,0.0327648843690306,0.0312865606618591
9.25,0.00318909368172463,0.00859583544739913,0.00622611583169358,0.00745872489092448,0.00613268105384749,0.00228205878911331,0.00400613175002177,0.00443740248566565
9.5,0.00333254692269837,0.00957427342246195,0.00622971422049282,0.0107777788909825,0.00708004033842946,0.00305982485274165,0.00329068867350565,0.00229050576679305
9.75,0.00342472929291626,0.0102126486686387,0.00619942139805515,0.0135455624966986,0.00906066093477265,0.00432564973096301,0.000517464823117411,0.00123614015789044
10,0.00952760663691458,0.0290878889843913,0.0154509051149291,0.00937650858026866,0.0051914647361227,0.00535061646001712,0.00314624297389721,0.00995928905751519
10.25,0.00334255129411959,0.0101082814824787,0.00525329108625591,0.0160253748922471,0.00974996252743055,0.00277476647961743,0.00343698017375154,0.0033919844699278
10.5,0.00320857284454732,0.00928668112831761,0.00428212853746923,0.0153501779088159,0.00946422736221868,0.00162973178634367,0.00189704863355979,0.0037644032898907
10.75,0.00307822015405615,0.00802477232950867,0.00312126048193938,0.0136876551351786,0.00790281479119548,0.000423059531126929,0.00270304909366436,0.00143622406647412
11,0.0250293209697109,0.0390773831126486,0.0369216566862911,0.022606725711185,0.0193614472711185,0.0246887069889619,0.0127131645053931,0.0312758568094922
11.25,0.00298731476105128,0.00548615018538276,0.00184621644817128,0.00804383369337887,0.00289651975521133,0.00164472981382897,0.00232102865757057,0.00532168243277252
11.5,0.00300367734615752,0.00533078723517756,0.00273928419538687,0.00508263936940951,0.000730223464705361,0.00185543476636023,0.00414713462758395,0.00229569336263133
11.75,0.00300607532899982,0.0061354427180901,0.00390562473450377,0.00226446543886682,0.00280133177277207,0.00276553601825278,0.00257900570043336,0.00712053734901198
12,0.00932486280227495,0.00642673390334095,0.0130445585826448,0.0161334999711598,0.0136975597724284,0.00524247695168062,0.00750488354141202,0.00265752419521881
12.25,0.00290675965067462,0.00817210313235407,0.00562721575451751,0.00126345243807731,0.00694388412286814,0.00561166529960613,0.00457264925285908,0.00853012601898655
12.5,0.00284707142931988,0.00847874555624347,0.00622406158146134,0.00183769211092428,0.00720087372894588,0.00730359804621534,0.00195291787999662,0.00737051951594635
12.75,0.00283422757069562,0.00807764774615097,0.00658061000189609,0.00215660139194799,0.00618287167885401,0.00915880544894948,0.00581888834038285,0.00496150540310607
13,0.0204484317116379,0.0165629298116977,0.024640147571653,0.0298324379577392,0.0172451117861932,0.027344166414716,0.0178702864224058,0.020093584499544
13.25,0.00298585958835978,0.00524431218561592,0.00707508327418268,0.00319227494977248,0.00295525223621614,0.00843585463517042,0.00731248070948137,0.00300438236463919
13.5,0.00307308379838964,0.00313176777042633,0.00711579493091142,0.00414724263343885,0.00334555268534632,0.00836805640421575,0.00701679885474766,0.00165130312616853
13.75,0.00309936810558297,0.000917627186276817,0.00703042552601897,0.0049654885452702,0.00549799992615468,0.00812491312760207,0.00557819252209915,0.00612350382475933
14,0.00798301321475256,0.0115214424490685,0.00661776754478216,0.00806747705361165,0.0107299045750471,0.00654307311652405,0.0116310092239151,0.00318097151429932
