column0,cell2_z2,cell3_z2,cell4_z2,cell5_z2,cell6_z2,cell7_z2,cell8_z2,cell9_z2
6,0.00804015758914739,0.0228749378184453,0.0149254391900907,0.0203361724938567,0.00475201898821493,0.0178761060255864,0.0165345260852526,0.011257250011521
6.25,0.00460368502418299,0.00554491349848966,0.00953790302631779,0.00889828642860746,0.00477919287607573,0.0090344215487597,0.0118024296047873,0.00414838302090164
6.5,0.00389362022407325,0.00954172533915951,0.00911094886696461,0.00869542661237267,0.00733762557585288,0.00899943907729745,0.00190774098679556,0.00526784609454013
6.75,0.00288584166441274,0.0137649866946166,0.00350431043826232,0.00750664892452273,0.00199425048012915,0.0107862508583096,0.00682027584981194,0.00426263323201653
7,0.00223525216181268,0.0175803073804306,0.0219620019732117,0.0201780372233992,0.0139055787600139,0.013002322007219,0.0197784589978913,0.0105603161152409
7.25,0.00343195266949757,0.00851363698895628,0.0105361425851827,0.00414252551813164,0.000773709768333871,0.0108449113483324,0.00257081363698296,0.00781515299175073
7.5,0.00302894884262956,0.0138294851373231,0.00915765989649544,0.0162675514573715,0.0019267064642955,0.0116882726333681,0.00242376025144443,0.00156349271378284
7.75,0.00183934422629549,0.00518938637531081,0.0222825584644044,0.0172869038231466,0.00258219502801228,0.0117136048952994,0.00816546297764995,0.00762129792905288
8,0.00566025119294216,0.0238360369335008,0.00643105836743473,0.0116492712380539,0.00852417654746394,0.0172107851580479,0.0133402543266612,0.00793897171340612
8.25,0.00266387393721654,0.00867827023876584,0.0258028711497967,0.0105049792709507,0.00505201521203205,0.00376244427411486,0.00432561930839784,0.0105489724150017
8.5,0.00239289726647113,0.00807719899698471,0.00901659696416044,0.0127562167181244,0.00461803936610647,0.00827499129998079,0.00498241438722518,0.00983277262440346
8.75,0.00261643368844434,0.00944249119709398,0.0182080566588142,0.0161061892387444,0.00247496562265511,0.00715010453872531,0.00823652442230064,0.00890601312771634
9,0.00506772815451509,0.0104967976733224,0.00448121037101289,0.023959825066506,0.00893252315616854,0.00180591951262224,0.013622303029339,0.00626914265855621
9.25,0.002497231891493,0.00179680122005646,0.0127024943242154,0.00672881852726032,0.00411589250401688,0.00396325571471239,0.0123364206525752,0.00628280470590546
9.5,0.00327597797031975,0.00916712178119034,0.0034289466891608,0.0052217233839025,0.00443447876373763,0.00314788716216948,0.00544114343714819,0.00342560990615019
9.75,0.0028453992637189,0.0121759525941212,0.00882954045855006,0.00784078067562282,0.00688534391018773,0.00352368891092072,0.0108172884679568,0.0105474583918855
10,0.00309280498654745,0.00889121647021867,0.0184234168911841,0.0165324340722838,0.0122217297586653,0.013967406753991,0.00311393308617835,0.0132878292620642
10.25,0.00290334571680603,0.00456497654922238,0.00663170685967796,0.00378028958248214,0.00285684094476346,0.00360816607686445,0.00462801021616499,0.00155079525228926
10.5,0.00264110484507651,0.00777060722234265,0.00197297178399396,0.00969427827885271,0.00725489640625802,0.00364496743796334,0.00265770306397637,0.00310913751312729
